age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,entrepreneur,single,primary,no,4162,yes,no,unknown,2,oct,546,2,-1,0,failure,no
64,management,divorced,secondary,no,1236,yes,no,cellular,5,apr,90,2,-1,1,other,no
39,admin.,married,secondary,no,1057,yes,no,telephone,29,nov,81,6,-1,0,unknown,no
47,admin.,married,secondary,no,1052,yes,no,unknown,18,oct,98,2,338,0,failure,no
39,admin.,married,tertiary,no,-347,yes,no,cellular,28,aug,374,2,521,0,unknown,yes
62,retired,married,secondary,no,-212,no,no,cellular,7,mar,243,1,-1,0,unknown,no
21,blue-collar,married,primary,no,3851,yes,no,cellular,11,dec,74,4,-1,1,unknown,no
42,retired,divorced,secondary,no,4828,yes,no,unknown,30,nov,26,2,-1,2,unknown,no
23,self-employed,married,tertiary,no,2946,yes,no,cellular,3,jul,226,2,-1,0,unknown,no
18,unemployed,married,secondary,no,-1450,yes,no,unknown,10,may,442,1,-1,1,unknown,no
44,technician,married,secondary,no,4584,no,no,cellular,26,aug,196,1,221,0,unknown,no
42,student,divorced,secondary,no,985,no,no,cellular,5,apr,590,1,6,0,unknown,no
37,technician,married,secondary,no,1962,yes,no,cellular,9,jan,91,1,-1,0,unknown,no
39,admin.,single,secondary,no,236,no,no,telephone,20,apr,28,2,-1,0,unknown,no
75,admin.,married,secondary,no,-1300,yes,yes,unknown,19,jan,499,3,-1,1,unknown,no
38,management,single,tertiary,no,2958,yes,no,unknown,10,feb,436,4,-1,0,unknown,no
46,services,single,secondary,no,-459,no,no,cellular,10,may,115,1,-1,0,unknown,no
33,technician,married,secondary,no,1323,yes,no,cellular,27,jun,640,2,-1,0,unknown,no
44,management,single,secondary,no,5026,yes,no,cellular,11,mar,23,5,-1,0,failure,no
38,unknown,married,secondary,no,3,no,no,unknown,8,jul,69,8,-1,0,unknown,yes
36,technician,married,secondary,no,381,yes,no,cellular,21,jul,520,1,-1,0,unknown,no
61,admin.,single,primary,no,898,yes,no,unknown,30,sep,427,1,-1,1,unknown,no
53,management,single,secondary,no,2997,yes,no,telephone,31,feb,64,3,-1,0,unknown,no
42,unknown,married,primary,no,1464,yes,no,cellular,23,aug,413,1,-1,1,unknown,no
18,management,married,secondary,no,-4619,yes,no,cellular,28,may,100,2,-1,0,unknown,no
37,management,married,secondary,no,892,yes,yes,cellular,24,jan,24,1,-1,1,unknown,no
70,blue-collar,single,tertiary,no,518,no,no,cellular,22,dec,48,2,424,0,unknown,no
38,management,married,secondary,no,-2742,yes,no,cellular,27,dec,234,1,-1,0,unknown,no
53,student,married,tertiary,no,3581,yes,no,unknown,3,aug,2,5,-1,0,failure,no
56,admin.,married,secondary,no,3595,yes,no,unknown,31,jul,518,7,-1,0,failure,no
43,technician,divorced,tertiary,no,621,yes,no,cellular,1,aug,517,2,550,0,unknown,yes
31,unemployed,single,secondary,no,-191,yes,no,cellular,16,sep,253,6,-1,0,unknown,no
18,technician,single,tertiary,no,951,yes,yes,cellular,10,oct,523,1,-1,0,unknown,no
48,unemployed,single,tertiary,no,656,no,no,cellular,10,oct,154,3,-1,0,other,no
32,admin.,single,secondary,no,2794,no,no,cellular,8,dec,111,6,-1,1,unknown,no
42,management,married,unknown,no,1314,yes,yes,cellular,26,dec,263,1,-1,3,unknown,no
27,admin.,single,secondary,no,1813,yes,no,cellular,5,mar,321,1,140,0,unknown,no
38,technician,single,secondary,no,257,no,no,cellular,6,aug,186,1,-1,0,unknown,no
41,unknown,divorced,tertiary,no,4875,yes,yes,cellular,16,aug,79,3,-1,0,unknown,no
43,blue-collar,married,primary,no,5336,no,no,unknown,9,oct,193,1,-1,0,unknown,no
28,retired,single,secondary,no,516,no,no,cellular,15,mar,369,4,-1,0,unknown,no
54,blue-collar,divorced,secondary,no,-819,yes,no,cellular,27,sep,89,1,-1,0,unknown,no
34,housemaid,single,secondary,no,3029,yes,no,unknown,25,mar,5,1,-1,0,failure,no
22,management,married,tertiary,no,62,yes,no,cellular,10,mar,104,4,-1,0,unknown,no
39,technician,married,secondary,no,-320,no,no,cellular,28,nov,131,2,-1,0,unknown,no
41,blue-collar,single,unknown,no,-2837,yes,no,unknown,7,oct,2,2,-1,0,unknown,no
42,blue-collar,single,secondary,no,-1514,yes,no,cellular,11,dec,256,4,-1,0,unknown,no
55,blue-collar,single,secondary,no,1430,yes,no,cellular,28,nov,56,1,-1,0,failure,no
38,admin.,single,secondary,no,1240,yes,yes,cellular,22,dec,288,1,-1,0,other,no
39,services,married,secondary,no,8688,no,no,cellular,17,mar,274,2,-1,2,unknown,no
28,blue-collar,divorced,secondary,no,3269,yes,no,unknown,28,feb,108,2,-1,1,unknown,no
50,management,single,tertiary,no,315,no,no,cellular,21,sep,40,1,-1,0,unknown,no
43,services,married,secondary,no,848,yes,no,cellular,6,feb,54,3,160,1,unknown,no
36,management,married,primary,no,343,no,no,cellular,5,jun,7,1,-1,0,unknown,no
20,unemployed,married,secondary,no,600,no,yes,cellular,8,feb,45,1,-1,0,unknown,no
56,technician,married,secondary,no,3210,yes,no,cellular,22,jul,30,1,-1,0,failure,yes
27,blue-collar,married,secondary,no,4706,no,no,cellular,9,sep,262,2,-1,2,unknown,no
34,blue-collar,married,primary,no,1249,yes,yes,cellular,7,sep,66,1,-1,0,unknown,yes
44,technician,married,secondary,no,-651,no,no,cellular,17,sep,448,2,480,1,unknown,yes
27,management,single,tertiary,no,1515,no,no,cellular,25,mar,9,1,-1,0,other,no
24,management,married,secondary,no,-1816,yes,no,cellular,25,aug,363,2,690,3,unknown,no
18,technician,divorced,primary,no,1974,no,no,unknown,13,apr,14,8,-1,0,unknown,no
48,admin.,single,tertiary,no,83,no,no,cellular,23,may,329,6,640,0,unknown,no
35,management,divorced,primary,no,1775,no,yes,unknown,18,oct,188,3,-1,1,unknown,no
73,student,married,tertiary,no,7,no,no,unknown,17,nov,115,1,-1,0,unknown,no
30,technician,married,secondary,no,680,no,no,unknown,11,aug,16,3,690,0,unknown,no
30,technician,single,tertiary,no,-3975,yes,yes,telephone,15,jul,568,2,-1,0,failure,no
34,management,married,secondary,no,-3760,yes,yes,cellular,4,oct,124,2,-1,0,unknown,no
43,technician,married,secondary,no,1126,yes,no,cellular,20,jul,55,1,-1,2,unknown,no
35,admin.,single,primary,no,414,yes,yes,cellular,20,jan,236,1,-1,1,unknown,no
47,blue-collar,divorced,tertiary,no,1163,yes,no,telephone,21,apr,165,3,-1,0,unknown,no
30,admin.,divorced,tertiary,no,330,yes,yes,cellular,23,sep,54,7,-1,0,unknown,no
25,blue-collar,divorced,tertiary,no,766,no,no,cellular,22,apr,4,4,-1,4,failure,no
21,student,divorced,secondary,no,2256,yes,no,cellular,19,mar,60,1,-1,1,unknown,no
18,admin.,single,primary,no,599,no,no,cellular,10,oct,567,3,114,0,unknown,no
35,management,divorced,secondary,no,2338,no,no,unknown,19,apr,89,8,-1,0,unknown,no
37,management,married,tertiary,no,2075,yes,yes,cellular,2,apr,321,3,574,0,unknown,no
34,blue-collar,married,secondary,no,-3666,no,no,cellular,24,apr,130,1,22,2,unknown,no
54,services,married,secondary,no,1969,yes,yes,unknown,30,nov,497,4,-1,1,failure,no
54,services,single,primary,no,1350,no,yes,cellular,24,apr,328,2,-1,1,failure,no
37,student,married,secondary,no,-1769,no,no,telephone,11,sep,139,1,780,0,unknown,no
21,technician,single,primary,no,495,no,no,unknown,2,jun,58,1,-1,0,unknown,no
34,blue-collar,divorced,tertiary,no,4180,no,no,cellular,15,jul,500,3,-1,0,unknown,no
34,unknown,married,tertiary,no,172,no,no,cellular,23,dec,37,2,485,1,unknown,no
33,admin.,single,secondary,no,1726,yes,no,cellular,28,feb,421,2,-1,1,unknown,no
33,services,single,unknown,no,1498,no,yes,unknown,16,oct,203,1,-1,0,unknown,no
33,unknown,divorced,secondary,no,2349,yes,no,cellular,30,dec,820,2,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,87,no,no,unknown,3,aug,439,5,-1,1,unknown,no
34,blue-collar,married,secondary,no,271,no,yes,cellular,22,apr,210,1,-1,0,unknown,no
43,retired,married,primary,no,1094,yes,no,cellular,20,feb,16,4,-1,1,unknown,no
44,technician,single,secondary,no,1979,yes,no,cellular,31,dec,290,2,-1,0,unknown,no
30,blue-collar,single,tertiary,no,155,no,no,cellular,8,apr,53,2,85,0,unknown,no
54,technician,married,secondary,no,-514,yes,no,cellular,7,oct,489,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,5500,yes,no,unknown,13,may,30,3,-1,1,success,no
23,technician,single,primary,no,-1376,no,no,unknown,25,jul,365,5,-1,4,unknown,no
45,blue-collar,single,secondary,no,1329,no,no,unknown,8,apr,1303,3,-1,0,failure,no
32,self-employed,single,secondary,no,124,yes,no,cellular,23,dec,279,1,-1,1,unknown,no
44,entrepreneur,married,secondary,no,-5657,no,no,cellular,2,feb,203,1,-1,0,unknown,no
18,blue-collar,married,secondary,no,1887,yes,no,cellular,27,dec,26,6,401,0,unknown,no
56,entrepreneur,married,tertiary,no,-1965,no,yes,unknown,5,jun,137,9,-1,0,unknown,no
48,management,married,tertiary,no,7812,no,yes,cellular,8,dec,659,1,-1,0,unknown,no
24,technician,divorced,secondary,no,2358,yes,no,cellular,18,jan,179,1,-1,1,unknown,no
24,technician,divorced,secondary,no,72,no,no,cellular,10,jul,93,3,-1,0,unknown,no
59,management,single,secondary,no,1846,yes,no,cellular,18,dec,380,8,-1,0,unknown,no
32,blue-collar,married,secondary,no,1438,yes,no,cellular,21,mar,114,1,-1,0,unknown,no
31,technician,divorced,unknown,no,868,yes,no,unknown,27,apr,181,6,846,1,unknown,no
18,technician,married,primary,no,82,yes,no,cellular,9,oct,110,3,-1,0,unknown,no
37,management,married,tertiary,no,1251,no,yes,unknown,27,sep,572,9,-1,0,unknown,no
38,services,single,secondary,no,261,yes,no,cellular,8,apr,510,9,-1,0,unknown,yes
48,entrepreneur,married,tertiary,no,976,yes,no,cellular,14,jul,114,2,-1,0,unknown,no
25,blue-collar,married,secondary,no,213,yes,no,cellular,4,feb,121,2,-1,1,failure,no
24,blue-collar,married,unknown,no,2369,yes,no,cellular,1,aug,85,1,-1,0,unknown,no
45,services,single,tertiary,no,408,yes,no,cellular,12,jan,18,1,-1,0,unknown,no
52,technician,married,secondary,no,236,yes,no,cellular,12,jan,100,2,-1,0,unknown,no
23,technician,married,tertiary,no,1211,no,no,cellular,6,may,61,3,-1,1,other,no
52,admin.,married,tertiary,no,382,yes,no,unknown,18,sep,14,6,-1,0,unknown,no
41,management,married,secondary,no,5824,no,no,unknown,10,nov,234,1,-1,1,unknown,no
53,blue-collar,divorced,tertiary,no,1432,yes,no,telephone,24,dec,338,4,-1,0,success,no
40,services,married,tertiary,no,1939,yes,yes,telephone,16,mar,131,1,-1,1,unknown,no
18,blue-collar,divorced,secondary,no,1464,no,no,cellular,12,nov,88,5,369,0,unknown,no
39,retired,married,secondary,no,1072,yes,yes,cellular,18,mar,1,4,-1,1,unknown,no
52,student,married,tertiary,no,471,no,yes,cellular,5,sep,723,2,98,0,unknown,yes
31,technician,married,secondary,no,621,yes,yes,cellular,16,jul,257,1,-1,0,unknown,no
36,blue-collar,married,tertiary,no,242,no,no,cellular,29,nov,394,3,869,2,unknown,no
39,admin.,married,tertiary,no,5708,yes,no,cellular,25,mar,28,2,-1,2,unknown,no
18,blue-collar,married,unknown,no,226,yes,no,cellular,30,jan,72,1,432,0,failure,no
59,self-employed,married,tertiary,no,-5354,no,no,cellular,26,sep,217,2,-1,0,unknown,no
31,admin.,married,tertiary,no,493,no,yes,cellular,4,oct,448,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,398,yes,no,cellular,22,aug,6,1,-1,1,unknown,no
40,unknown,married,secondary,no,10855,no,no,cellular,9,oct,1089,1,324,0,unknown,yes
54,management,married,secondary,no,-148,yes,no,unknown,12,jan,683,1,-1,0,unknown,no
45,management,married,tertiary,no,2469,yes,no,cellular,20,jan,80,2,698,0,unknown,no
38,admin.,married,secondary,no,-1510,no,no,unknown,15,feb,90,1,-1,0,failure,no
31,self-employed,married,tertiary,no,1750,no,no,cellular,12,may,1009,1,-1,0,unknown,yes
49,blue-collar,divorced,tertiary,no,-582,no,no,unknown,19,aug,165,8,-1,0,unknown,no
20,retired,single,secondary,no,1341,yes,no,cellular,16,mar,434,3,-1,0,unknown,no
48,management,divorced,secondary,no,1709,no,no,cellular,26,oct,180,7,32,1,unknown,no
28,unknown,married,tertiary,no,1226,yes,yes,cellular,6,feb,875,3,-1,0,success,yes
54,blue-collar,married,secondary,no,1475,no,no,cellular,18,nov,180,1,-1,0,other,no
42,retired,married,secondary,no,393,no,no,unknown,8,aug,174,1,-1,0,unknown,no
48,management,married,secondary,no,1124,yes,no,cellular,3,jan,124,3,-1,0,unknown,no
41,management,married,secondary,no,241,yes,no,unknown,5,apr,138,3,-1,0,unknown,no
21,admin.,married,primary,no,228,yes,no,cellular,28,sep,137,2,-1,0,unknown,no
31,services,divorced,secondary,no,790,yes,no,cellular,3,apr,15,1,-1,0,unknown,no
48,blue-collar,married,tertiary,no,1279,yes,no,cellular,15,apr,48,3,-1,0,unknown,no
42,management,married,primary,no,1061,no,yes,cellular,28,feb,42,1,-1,0,unknown,no
53,management,married,unknown,no,768,yes,no,cellular,4,apr,522,1,-1,0,unknown,no
45,management,married,tertiary,no,770,no,no,unknown,9,jun,186,1,-1,0,unknown,no
30,housemaid,divorced,tertiary,no,1075,no,no,cellular,29,may,540,1,734,0,unknown,no
32,blue-collar,single,tertiary,no,1513,yes,no,cellular,23,feb,104,6,495,0,unknown,no
42,management,single,tertiary,no,1635,yes,no,cellular,4,jan,124,1,-1,0,unknown,no
18,admin.,married,secondary,no,2712,no,no,cellular,6,jul,199,2,-1,0,other,no
59,blue-collar,married,secondary,no,-1044,no,no,cellular,19,aug,107,4,-1,0,unknown,no
45,technician,single,secondary,no,680,no,no,cellular,15,nov,875,1,-1,1,unknown,yes
54,technician,single,tertiary,no,3301,yes,no,cellular,7,oct,481,2,-1,0,unknown,no
23,student,married,tertiary,no,299,no,no,cellular,4,jul,95,7,-1,0,unknown,no
54,services,married,secondary,no,1504,no,no,cellular,13,apr,6,2,704,0,unknown,no
65,technician,married,secondary,no,415,yes,yes,cellular,26,sep,211,2,-1,1,unknown,no
26,blue-collar,married,secondary,no,2064,yes,no,telephone,25,jun,296,2,446,0,unknown,no
49,management,single,tertiary,no,4417,no,no,cellular,22,apr,76,1,-1,0,unknown,no
41,admin.,married,secondary,no,3934,yes,yes,unknown,31,sep,753,8,-1,0,unknown,no
24,technician,married,primary,no,991,yes,no,unknown,14,jan,152,4,-1,0,unknown,no
46,management,single,tertiary,yes,9527,no,no,unknown,27,aug,127,1,-1,0,unknown,no
50,technician,single,tertiary,no,54,no,no,cellular,22,apr,129,2,-1,0,unknown,yes
34,technician,single,secondary,no,-2147,no,no,unknown,11,may,379,1,-1,0,unknown,no
53,management,single,tertiary,no,1482,no,no,unknown,1,oct,139,4,-1,0,unknown,no
22,management,married,tertiary,no,5552,no,no,cellular,2,may,287,1,-1,0,unknown,no
24,admin.,single,secondary,no,3748,no,yes,unknown,5,may,6,3,-1,0,unknown,no
42,management,married,tertiary,no,356,yes,no,cellular,23,jun,42,1,-1,0,unknown,no
41,services,single,tertiary,no,173,yes,no,telephone,1,oct,54,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,-133,yes,no,unknown,26,mar,698,1,-1,0,unknown,yes
49,unknown,divorced,tertiary,no,1910,yes,no,unknown,6,feb,249,5,-1,0,unknown,no
46,unknown,divorced,tertiary,no,248,no,yes,cellular,3,may,443,1,-1,1,unknown,no
50,blue-collar,married,secondary,no,5420,yes,no,cellular,24,nov,651,1,-1,0,unknown,no
39,student,married,secondary,no,2635,yes,no,cellular,13,nov,128,1,-1,0,unknown,no
47,admin.,married,primary,no,-383,no,no,telephone,11,sep,672,3,-1,1,unknown,no
36,services,married,primary,no,145,no,no,telephone,31,jun,19,2,-1,0,unknown,no
63,services,married,secondary,no,1435,yes,no,cellular,28,oct,10,1,761,0,failure,no
32,technician,single,secondary,no,-530,no,no,cellular,14,dec,185,5,-1,0,unknown,no
64,blue-collar,married,secondary,no,-3295,no,no,unknown,30,sep,614,1,-1,0,unknown,no
41,technician,married,secondary,no,357,yes,no,cellular,9,mar,47,1,-1,0,unknown,no
25,technician,married,secondary,no,1494,yes,no,cellular,6,feb,66,1,-1,0,unknown,no
56,services,single,tertiary,no,819,yes,no,unknown,31,jul,406,2,-1,0,unknown,yes
42,management,married,secondary,no,1097,no,yes,unknown,19,dec,3,1,-1,0,other,no
50,self-employed,married,secondary,no,-2623,no,no,cellular,21,feb,12,3,-1,0,unknown,no
54,student,married,unknown,no,823,no,no,cellular,3,apr,1,1,-1,1,unknown,no
44,unknown,single,unknown,no,3717,no,no,cellular,6,dec,1074,4,-1,0,unknown,no
34,blue-collar,divorced,tertiary,no,5573,yes,no,unknown,9,feb,219,1,-1,0,unknown,no
51,blue-collar,single,secondary,no,1205,no,no,cellular,27,oct,492,1,359,0,failure,no
41,technician,married,secondary,no,377,no,no,unknown,12,dec,617,2,-1,0,unknown,no
48,management,married,secondary,no,-701,yes,no,cellular,16,nov,429,1,-1,0,unknown,no
18,services,single,secondary,no,274,no,no,cellular,7,apr,659,1,689,2,unknown,no
45,blue-collar,married,tertiary,no,769,no,no,cellular,4,mar,241,1,-1,0,unknown,no
33,services,single,secondary,no,2155,yes,no,cellular,9,jan,366,6,-1,0,unknown,no
59,services,single,secondary,no,1042,yes,no,telephone,11,nov,257,3,-1,0,unknown,no
47,self-employed,married,secondary,no,437,no,no,cellular,24,jan,152,2,-1,0,unknown,no
43,technician,married,secondary,no,-16,yes,yes,telephone,24,aug,73,4,-1,0,unknown,no
46,technician,married,tertiary,no,620,yes,no,unknown,6,dec,224,5,-1,0,failure,no
30,technician,single,tertiary,no,353,yes,no,cellular,17,mar,321,1,-1,0,unknown,no
58,blue-collar,divorced,tertiary,no,-2634,no,no,unknown,16,jan,34,1,-1,0,other,no
62,technician,married,primary,no,1882,yes,no,cellular,31,dec,90,5,-1,0,unknown,no
45,management,single,secondary,no,920,yes,no,telephone,3,nov,292,4,-1,0,unknown,no
58,blue-collar,married,secondary,no,946,no,no,cellular,14,may,136,5,-1,0,unknown,no
34,technician,married,primary,no,413,no,no,cellular,1,sep,79,1,-1,0,unknown,no
32,retired,married,tertiary,no,245,no,no,unknown,24,mar,283,2,-1,0,success,yes
41,management,divorced,secondary,no,2114,yes,no,unknown,9,nov,378,2,203,0,unknown,no
45,technician,divorced,primary,no,1555,yes,no,unknown,27,jun,109,1,-1,0,unknown,no
36,retired,married,secondary,no,2833,no,no,cellular,5,aug,282,4,-1,1,unknown,no
46,technician,married,primary,no,-5604,no,no,unknown,31,jun,284,3,-1,0,unknown,no
44,admin.,married,tertiary,no,-756,no,no,cellular,1,oct,27,4,-1,1,unknown,no
30,technician,single,tertiary,no,758,no,no,unknown,9,aug,136,3,-1,0,failure,no
46,blue-collar,single,secondary,no,-8000,yes,no,cellular,4,dec,54,1,-1,0,other,no
50,blue-collar,married,unknown,no,3569,no,no,cellular,11,jul,8,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,630,yes,no,unknown,13,mar,502,1,204,1,failure,no
53,blue-collar,divorced,secondary,no,6331,yes,no,unknown,3,feb,183,1,-1,0,failure,no
27,technician,married,tertiary,no,-1842,no,no,unknown,23,aug,111,1,-1,0,unknown,no
46,services,divorced,secondary,no,1916,no,no,telephone,12,nov,337,2,-1,0,unknown,yes
28,blue-collar,married,secondary,no,437,no,yes,unknown,24,sep,100,1,-1,0,success,no
28,blue-collar,married,tertiary,no,1462,yes,no,cellular,7,oct,20,3,-1,3,unknown,no
34,admin.,married,primary,no,809,no,no,cellular,16,may,769,3,-1,0,unknown,no
30,management,married,secondary,no,733,no,yes,cellular,2,jul,56,1,-1,0,unknown,no
34,housemaid,married,secondary,no,2221,yes,no,unknown,25,jun,164,5,-1,0,unknown,no
38,blue-collar,married,secondary,no,797,no,no,cellular,8,oct,48,1,-1,0,unknown,no
50,technician,married,tertiary,no,757,yes,no,cellular,10,nov,87,2,723,0,unknown,no
37,technician,divorced,tertiary,no,3912,yes,no,cellular,17,oct,274,2,-1,0,unknown,no
23,admin.,single,primary,no,2001,no,no,unknown,20,jun,648,1,-1,0,other,no
53,blue-collar,divorced,secondary,no,337,yes,no,cellular,4,jan,59,6,-1,0,unknown,yes
31,technician,single,secondary,no,-1971,no,no,cellular,2,may,519,2,-1,0,unknown,no
40,technician,married,tertiary,no,2388,no,no,cellular,17,dec,252,8,-1,0,unknown,no
45,admin.,married,secondary,no,-350,yes,no,unknown,7,nov,171,1,-1,1,unknown,no
43,unemployed,single,tertiary,no,236,yes,no,cellular,8,oct,200,1,-1,1,unknown,no
53,admin.,married,unknown,no,496,no,no,cellular,22,sep,756,2,-1,0,unknown,no
46,services,married,secondary,no,6323,no,no,cellular,30,apr,211,1,-1,0,other,no
31,admin.,married,secondary,no,365,yes,no,cellular,6,aug,261,2,-1,0,unknown,no
64,unknown,divorced,secondary,no,3334,no,no,cellular,10,nov,191,1,-1,0,unknown,no
43,entrepreneur,single,secondary,no,-784,no,no,telephone,2,feb,366,2,-1,0,unknown,no
39,services,single,secondary,no,92,yes,no,telephone,15,may,231,8,-1,0,failure,no
51,blue-collar,single,tertiary,no,388,no,no,cellular,14,sep,4,7,244,0,unknown,no
43,blue-collar,married,primary,no,2762,no,no,cellular,21,feb,415,1,589,1,failure,no
45,technician,married,secondary,no,1581,yes,yes,cellular,4,feb,216,1,-1,0,other,no
68,unknown,married,secondary,no,2947,yes,yes,cellular,11,mar,1079,1,-1,2,unknown,no
37,unknown,divorced,primary,no,1705,yes,no,cellular,24,apr,601,1,-1,0,unknown,no
37,technician,married,primary,no,653,no,no,cellular,19,jun,206,1,112,0,unknown,yes
42,technician,single,secondary,no,50,no,no,cellular,21,dec,139,10,672,0,failure,no
52,unknown,divorced,secondary,no,1607,yes,no,unknown,28,apr,307,3,-1,0,unknown,no
24,admin.,divorced,tertiary,no,321,yes,no,cellular,5,may,188,1,-1,0,unknown,no
19,blue-collar,single,primary,no,324,yes,no,cellular,20,oct,113,1,-1,0,unknown,no
34,admin.,divorced,tertiary,no,2239,no,no,unknown,7,jun,70,3,-1,0,success,no
23,management,divorced,primary,no,21,yes,yes,cellular,8,mar,401,1,2,0,unknown,no
36,unknown,single,tertiary,no,-5608,no,no,telephone,9,jul,373,3,-1,2,unknown,no
46,self-employed,married,secondary,no,346,no,no,unknown,31,oct,304,4,-1,0,unknown,no
31,retired,married,secondary,no,180,yes,no,unknown,5,mar,92,4,-1,0,unknown,no
25,technician,divorced,secondary,no,1702,no,no,unknown,27,aug,118,3,-1,1,unknown,no
41,unknown,married,tertiary,no,349,no,yes,unknown,16,jun,160,1,-1,0,unknown,no
50,services,married,secondary,no,3940,no,no,unknown,10,apr,140,4,39,0,unknown,yes
22,technician,divorced,primary,no,2450,yes,yes,cellular,8,sep,443,1,-1,1,unknown,no
50,blue-collar,divorced,tertiary,no,607,no,no,cellular,4,apr,756,4,-1,0,failure,no
49,management,married,tertiary,no,1906,no,no,cellular,23,aug,584,1,819,1,unknown,no
51,entrepreneur,divorced,tertiary,no,1505,no,yes,unknown,21,jan,14,2,-1,0,unknown,no
54,blue-collar,married,secondary,no,2052,yes,yes,telephone,11,feb,181,2,-1,0,unknown,yes
65,blue-collar,single,primary,no,712,no,no,cellular,20,jan,106,5,-1,0,unknown,no
37,technician,single,tertiary,no,1475,no,no,cellular,29,apr,158,2,-1,0,unknown,no
42,management,divorced,secondary,no,1343,yes,no,cellular,18,jun,402,2,-1,1,unknown,yes
36,retired,divorced,tertiary,no,450,no,no,unknown,13,apr,522,5,-1,1,failure,yes
41,blue-collar,married,secondary,no,501,yes,no,cellular,31,apr,97,1,722,0,unknown,no
57,unknown,married,tertiary,no,-3893,no,no,unknown,13,nov,135,2,484,1,unknown,no
26,self-employed,married,tertiary,no,116,yes,no,cellular,24,jan,164,2,-1,0,unknown,no
31,admin.,divorced,unknown,no,2190,yes,no,cellular,8,jun,166,2,84,0,unknown,no
56,blue-collar,divorced,secondary,no,2790,yes,no,unknown,16,jan,223,8,165,0,other,no
52,unknown,married,secondary,no,1241,no,no,cellular,8,jan,391,1,-1,0,unknown,no
37,unknown,single,secondary,no,197,no,no,cellular,22,jul,15,4,-1,0,unknown,no
50,retired,single,unknown,no,52,yes,no,unknown,1,mar,478,1,-1,0,unknown,yes
44,retired,married,secondary,no,96,no,no,cellular,22,dec,180,2,-1,1,unknown,no
57,unemployed,married,secondary,no,516,no,no,unknown,18,jun,88,1,-1,2,unknown,no
41,services,single,primary,no,308,no,no,cellular,25,sep,29,3,-1,0,failure,no
52,unknown,married,secondary,no,834,yes,no,cellular,22,jan,465,2,263,0,failure,no
70,management,married,secondary,no,-39,yes,no,cellular,1,aug,10,4,-1,0,unknown,no
47,unknown,single,primary,no,3022,yes,no,cellular,5,jan,169,1,-1,0,unknown,no
41,retired,married,primary,no,3253,no,no,cellular,15,mar,86,2,-1,0,unknown,no
48,services,married,primary,no,265,yes,no,unknown,18,mar,125,3,-1,0,unknown,no
36,admin.,married,secondary,no,203,yes,no,cellular,20,jun,173,1,-1,0,unknown,no
67,self-employed,single,secondary,no,163,no,no,unknown,7,sep,43,2,-1,0,success,no
42,technician,married,secondary,no,3464,no,no,cellular,16,nov,143,1,-1,1,unknown,no
37,management,married,secondary,no,-3279,no,no,cellular,2,feb,231,1,-1,0,unknown,no
31,management,married,tertiary,no,-1535,yes,no,unknown,18,sep,267,3,359,1,unknown,no
53,management,single,secondary,no,186,yes,no,cellular,31,apr,139,3,-1,0,unknown,no
50,unknown,married,tertiary,no,3446,yes,no,cellular,5,dec,310,2,725,0,unknown,no
35,management,married,primary,no,2265,yes,yes,cellular,28,mar,170,1,-1,1,unknown,no
47,blue-collar,single,tertiary,no,57,yes,yes,cellular,11,apr,657,1,-1,2,unknown,no
24,admin.,married,secondary,no,2945,yes,no,cellular,20,dec,312,1,-1,0,unknown,yes
43,technician,married,secondary,no,296,yes,no,cellular,13,jun,41,2,-1,0,unknown,no
45,retired,married,secondary,no,2765,no,no,unknown,10,jul,297,1,-1,0,unknown,no
59,admin.,married,secondary,no,2795,no,no,cellular,27,dec,192,1,-1,1,other,no
32,management,single,tertiary,no,1125,no,no,unknown,13,aug,177,3,-1,0,success,yes
26,unemployed,married,primary,no,502,yes,no,cellular,30,feb,75,3,828,1,unknown,no
31,unknown,married,primary,no,1574,yes,no,cellular,6,apr,468,1,-1,0,failure,no
26,admin.,married,secondary,no,1832,yes,no,cellular,28,jul,76,1,43,0,unknown,no
55,blue-collar,single,secondary,no,3526,yes,no,cellular,22,sep,141,2,-1,0,unknown,no
58,admin.,single,tertiary,no,2762,yes,no,unknown,6,aug,215,4,-1,0,unknown,no
44,technician,single,secondary,no,65,yes,no,unknown,7,feb,511,3,-1,1,unknown,no
54,admin.,divorced,secondary,no,2275,yes,no,cellular,11,mar,123,5,-1,1,failure,no
42,admin.,single,secondary,no,130,no,no,cellular,1,jun,508,1,-1,0,unknown,no
39,blue-collar,single,tertiary,no,3191,yes,no,unknown,7,may,41,1,-1,0,unknown,yes
37,unemployed,married,tertiary,no,73,no,no,cellular,18,apr,167,4,-1,0,unknown,no
37,services,married,secondary,no,4701,yes,no,cellular,10,jun,161,5,727,0,unknown,no
23,self-employed,married,primary,no,-4808,no,no,cellular,27,aug,280,1,-1,0,unknown,no
43,technician,single,secondary,no,-1280,yes,no,cellular,13,aug,10,3,-1,0,unknown,no
40,services,married,secondary,no,1581,yes,no,cellular,4,apr,37,1,-1,0,unknown,no
